salesorderid,salesreasonid,modifieddate
60794,1,2024-11-23
60795,1,2024-11-23
60796,1,2024-11-23
60797,1,2024-11-23
60798,1,2024-11-23
60799,1,2024-11-23
60800,1,2024-11-23
60801,1,2024-11-23
60801,10,2024-11-23
60802,1,2024-11-23
60803,1,2024-11-23
60804,1,2024-11-23
60805,1,2024-11-23
60806,1,2024-11-23
60807,1,2024-11-23
60808,1,2024-11-23
60809,1,2024-11-23
60810,1,2024-11-23
60811,1,2024-11-23
60812,1,2024-11-23
60813,1,2024-11-23
60815,6,2024-11-23
60818,1,2024-11-23
60818,2,2024-11-23
60820,1,2024-11-23
60821,1,2024-11-23
60823,1,2024-11-23
60825,1,2024-11-23
60825,2,2024-11-23
60825,10,2024-11-23
60826,6,2024-11-23
60829,1,2024-11-23
60830,1,2024-11-23
60831,1,2024-11-23
60832,1,2024-11-23
60834,1,2024-11-23
60834,2,2024-11-23
60835,1,2024-11-23
60836,1,2024-11-23
60836,2,2024-11-23
60838,1,2024-11-24
60839,1,2024-11-24
60840,1,2024-11-24
60841,6,2024-11-24
60842,4,2024-11-24
60843,4,2024-11-24
60844,1,2024-11-24
60844,10,2024-11-24
60845,1,2024-11-24
60846,1,2024-11-24
60847,4,2024-11-24
60848,4,2024-11-24
60849,1,2024-11-24
60850,2,2024-11-24
60851,1,2024-11-24
60852,1,2024-11-24
60853,1,2024-11-24
60854,1,2024-11-24
60855,1,2024-11-24
60856,1,2024-11-24
60857,4,2024-11-24
60858,4,2024-11-24
60859,1,2024-11-24
60859,10,2024-11-24
60860,1,2024-11-24
60861,1,2024-11-24
60862,1,2024-11-24
60863,1,2024-11-24
60864,1,2024-11-24
60865,1,2024-11-24
60866,1,2024-11-24
60867,1,2024-11-24
60868,1,2024-11-24
60869,1,2024-11-24
60869,10,2024-11-24
60870,1,2024-11-24
60871,1,2024-11-24
60872,1,2024-11-24
60873,2,2024-11-24
60874,1,2024-11-24
60875,1,2024-11-24
60875,2,2024-11-24
60876,2,2024-11-24
60878,1,2024-11-24
60880,1,2024-11-24
60881,1,2024-11-24
60882,1,2024-11-24
60884,1,2024-11-24
60887,1,2024-11-24
60887,2,2024-11-24
60889,1,2024-11-24
60889,2,2024-11-24
60890,1,2024-11-24
60891,1,2024-11-24
60891,2,2024-11-24
60892,1,2024-11-24
60893,1,2024-11-24
60893,2,2024-11-24
60894,2,2024-11-24
60895,1,2024-11-25
60896,1,2024-11-25
60897,1,2024-11-25
60897,10,2024-11-25
60898,1,2024-11-25
60899,1,2024-11-25
60900,1,2024-11-25
60901,1,2024-11-25
60902,1,2024-11-25
60903,1,2024-11-25
60904,1,2024-11-25
60904,10,2024-11-25
60905,1,2024-11-25
60906,1,2024-11-25
60907,1,2024-11-25
60907,10,2024-11-25
60908,1,2024-11-25
60909,1,2024-11-25
60910,1,2024-11-25
60911,1,2024-11-25
60912,1,2024-11-25
60913,1,2024-11-25
60913,10,2024-11-25
60914,1,2024-11-25
60915,1,2024-11-25
60916,1,2024-11-25
60917,1,2024-11-25
60918,1,2024-11-25
60919,1,2024-11-25
60920,1,2024-11-25
60921,1,2024-11-25
60922,1,2024-11-25
60923,1,2024-11-25
60924,1,2024-11-25
60926,1,2024-11-25
60927,1,2024-11-25
60928,1,2024-11-25
60929,1,2024-11-25
60930,1,2024-11-25
60931,1,2024-11-25
60932,1,2024-11-25
60933,1,2024-11-25
60933,2,2024-11-25
60934,6,2024-11-25
60936,1,2024-11-25
60938,1,2024-11-25
60939,1,2024-11-25
60940,1,2024-11-25
60941,1,2024-11-25
60942,1,2024-11-25
60943,5,2024-11-25
60945,1,2024-11-25
60946,1,2024-11-25
60946,2,2024-11-25
60946,10,2024-11-25
60947,1,2024-11-25
60947,10,2024-11-25
60949,1,2024-11-25
60951,1,2024-11-25
60953,1,2024-11-25
60953,2,2024-11-25
60953,10,2024-11-25
60954,1,2024-11-25
60954,2,2024-11-25
60954,10,2024-11-25
60955,1,2024-11-25
60956,1,2024-11-26
60957,1,2024-11-26
60957,2,2024-11-26
60959,1,2024-11-26
60959,10,2024-11-26
60960,1,2024-11-26
60960,10,2024-11-26
60961,1,2024-11-26
60962,1,2024-11-26
60963,1,2024-11-26
60964,1,2024-11-26
60965,1,2024-11-26
60966,1,2024-11-26
60967,1,2024-11-26
60968,1,2024-11-26
60969,1,2024-11-26
60969,2,2024-11-26
60970,1,2024-11-26
60970,10,2024-11-26
60971,1,2024-11-26
60972,1,2024-11-26
60973,1,2024-11-26
60974,1,2024-11-26
60975,1,2024-11-26
60976,1,2024-11-26
60978,4,2024-11-26
60978,10,2024-11-26
60979,4,2024-11-26
60980,1,2024-11-26
60981,1,2024-11-26
60982,1,2024-11-26
60983,1,2024-11-26
60984,1,2024-11-26
60985,1,2024-11-26
60986,1,2024-11-26
60987,1,2024-11-26
60988,1,2024-11-26
60989,1,2024-11-26
60990,1,2024-11-26
60990,10,2024-11-26
60991,1,2024-11-26
60992,1,2024-11-26
60993,1,2024-11-26
60994,1,2024-11-26
60995,1,2024-11-26
60995,10,2024-11-26
60996,1,2024-11-26
60997,1,2024-11-26
60998,1,2024-11-26
60999,1,2024-11-26
61000,1,2024-11-26
61001,1,2024-11-26
61001,10,2024-11-26
61002,1,2024-11-26
61002,10,2024-11-26
61003,1,2024-11-26
61004,1,2024-11-26
61005,1,2024-11-26
61006,1,2024-11-26
61008,6,2024-11-26
61010,6,2024-11-26
61011,1,2024-11-26
61011,2,2024-11-26
61012,1,2024-11-26
61013,1,2024-11-26
61013,2,2024-11-26
61016,1,2024-11-26
61016,2,2024-11-26
61017,1,2024-11-26
61018,1,2024-11-26
61019,1,2024-11-26
61019,2,2024-11-26
61021,1,2024-11-26
61023,1,2024-11-26
61026,1,2024-11-26
61026,2,2024-11-26
61026,10,2024-11-26
61027,1,2024-11-26
61028,1,2024-11-26
61028,2,2024-11-26
61029,1,2024-11-26
61030,1,2024-11-26
61032,1,2024-11-26
61033,1,2024-11-27
61034,1,2024-11-27
61035,2,2024-11-27
61036,1,2024-11-27
61037,1,2024-11-27
61038,1,2024-11-27
61039,1,2024-11-27
61040,1,2024-11-27
61041,1,2024-11-27
61042,1,2024-11-27
61043,1,2024-11-27
61044,1,2024-11-27
61045,1,2024-11-27
61046,1,2024-11-27
61047,1,2024-11-27
61048,1,2024-11-27
61049,1,2024-11-27
61050,1,2024-11-27
61051,1,2024-11-27
61052,1,2024-11-27
61053,1,2024-11-27
61054,1,2024-11-27
61055,6,2024-11-27
61056,6,2024-11-27
61057,1,2024-11-27
61058,1,2024-11-27
61059,1,2024-11-27
61060,1,2024-11-27
61061,1,2024-11-27
61062,4,2024-11-27
61063,1,2024-11-27
61064,1,2024-11-27
61065,1,2024-11-27
61066,1,2024-11-27
61067,1,2024-11-27
61068,1,2024-11-27
61069,1,2024-11-27
61070,1,2024-11-27
61071,1,2024-11-27
61072,1,2024-11-27
61073,1,2024-11-27
61074,2,2024-11-27
61075,1,2024-11-27
61075,2,2024-11-27
61076,2,2024-11-27
61077,1,2024-11-27
61078,1,2024-11-27
61079,1,2024-11-27
61081,1,2024-11-27
61081,2,2024-11-27
61082,1,2024-11-27
61082,2,2024-11-27
61083,1,2024-11-27
61085,1,2024-11-27
61086,1,2024-11-27
61087,1,2024-11-27
61087,2,2024-11-27
61088,1,2024-11-27
61089,1,2024-11-27
61089,2,2024-11-27
61090,1,2024-11-27
61091,1,2024-11-27
61092,1,2024-11-27
61092,2,2024-11-27
61092,10,2024-11-27
61093,2,2024-11-28
61094,1,2024-11-28
61095,1,2024-11-28
61096,1,2024-11-28
61098,1,2024-11-28
61098,10,2024-11-28
61099,1,2024-11-28
61099,10,2024-11-28
61100,1,2024-11-28
61101,1,2024-11-28
61102,1,2024-11-28
61103,1,2024-11-28
61104,1,2024-11-28
61105,1,2024-11-28
61106,6,2024-11-28
61107,4,2024-11-28
61108,1,2024-11-28
61109,1,2024-11-28
61110,2,2024-11-28
61111,1,2024-11-28
61112,2,2024-11-28
61113,1,2024-11-28
61114,1,2024-11-28
61114,2,2024-11-28
61115,1,2024-11-28
61116,1,2024-11-28
61116,10,2024-11-28
61117,6,2024-11-28
61118,1,2024-11-28
61119,1,2024-11-28
61120,1,2024-11-28
61121,1,2024-11-28
61122,1,2024-11-28
61122,10,2024-11-28
61123,1,2024-11-28
61124,1,2024-11-28
61125,1,2024-11-28
61127,1,2024-11-28
61128,1,2024-11-28
61129,1,2024-11-28
61130,1,2024-11-28
61131,1,2024-11-28
61132,1,2024-11-28
61133,1,2024-11-28
61134,1,2024-11-28
61135,1,2024-11-28
61136,1,2024-11-28
61136,10,2024-11-28
61137,1,2024-11-28
61138,1,2024-11-28
61139,1,2024-11-28
61139,10,2024-11-28
61140,1,2024-11-28
61141,1,2024-11-28
61142,1,2024-11-28
61143,1,2024-11-28
61144,1,2024-11-28
61145,1,2024-11-28
61146,1,2024-11-28
61147,1,2024-11-28
61148,1,2024-11-28
61149,1,2024-11-28
61150,1,2024-11-28
61151,1,2024-11-28
61152,1,2024-11-28
61153,1,2024-11-28
61154,1,2024-11-28
61155,1,2024-11-28
61156,2,2024-11-28
61157,1,2024-11-28
61158,1,2024-11-28
61159,2,2024-11-28
61162,1,2024-11-28
61162,2,2024-11-28
61163,1,2024-11-28
61163,2,2024-11-28
61163,10,2024-11-28
61164,1,2024-11-28
61164,2,2024-11-28
61165,1,2024-11-28
61166,5,2024-11-28
61168,1,2024-11-28
61169,1,2024-11-28
61170,1,2024-11-28
61170,2,2024-11-28
61171,1,2024-11-28
61171,2,2024-11-28
61171,10,2024-11-28
61172,1,2024-11-28
61269,1,2024-11-29
61270,1,2024-11-29
61271,1,2024-11-29
61272,1,2024-11-29
61273,1,2024-11-29
61274,1,2024-11-29
61275,4,2024-11-29
61276,1,2024-11-29
61277,1,2024-11-29
61278,1,2024-11-29
61279,1,2024-11-29
61279,2,2024-11-29
61280,4,2024-11-29
61281,1,2024-11-29
61282,1,2024-11-29
61283,1,2024-11-29
61284,1,2024-11-29
61285,1,2024-11-29
61286,1,2024-11-29
61287,1,2024-11-29
61288,1,2024-11-29
61289,1,2024-11-29
61290,1,2024-11-29
61291,6,2024-11-29
61292,1,2024-11-29
61293,1,2024-11-29
61293,10,2024-11-29
61294,1,2024-11-29
61295,1,2024-11-29
61296,1,2024-11-29
61297,1,2024-11-29
61298,1,2024-11-29
61298,10,2024-11-29
61299,1,2024-11-29
61300,1,2024-11-29
61301,1,2024-11-29
61301,2,2024-11-29
61302,1,2024-11-29
61304,1,2024-11-29
61305,2,2024-11-29
61306,1,2024-11-29
61307,6,2024-11-29
61308,1,2024-11-29
61309,2,2024-11-29
61310,1,2024-11-29
61310,2,2024-11-29
61311,1,2024-11-29
61312,2,2024-11-29
61313,1,2024-11-30
61313,2,2024-11-30
61314,6,2024-11-30
61315,1,2024-11-30
61316,1,2024-11-30
61316,10,2024-11-30
61317,1,2024-11-30
61318,1,2024-11-30
61318,10,2024-11-30
61319,1,2024-11-30
61320,1,2024-11-30
61321,1,2024-11-30
61322,1,2024-11-30
61322,10,2024-11-30
61323,6,2024-11-30
61324,6,2024-11-30
61325,1,2024-11-30
61326,1,2024-11-30
61327,1,2024-11-30
61328,4,2024-11-30
61329,1,2024-11-30
61330,1,2024-11-30
61331,1,2024-11-30
61332,1,2024-11-30
61333,1,2024-11-30
61334,1,2024-11-30
61334,10,2024-11-30
61335,6,2024-11-30
61336,1,2024-11-30
61337,1,2024-11-30
61338,1,2024-11-30
61339,1,2024-11-30
61340,1,2024-11-30
61341,1,2024-11-30
61342,1,2024-11-30
61343,1,2024-11-30
61344,1,2024-11-30
61345,1,2024-11-30
61346,1,2024-11-30
61347,1,2024-11-30
61348,1,2024-11-30
61349,1,2024-11-30
61350,1,2024-11-30
61351,1,2024-11-30
61352,4,2024-11-30
61353,1,2024-11-30
61354,1,2024-11-30
61355,1,2024-11-30
61357,1,2024-11-30
61358,1,2024-11-30
61359,2,2024-11-30
61360,1,2024-11-30
61362,1,2024-11-30
61363,1,2024-11-30
61363,2,2024-11-30
61364,1,2024-11-30
61364,2,2024-11-30
61365,6,2024-11-30
61366,1,2024-11-30
61367,1,2024-11-30
61369,2,2024-11-30
61372,1,2024-12-01
61372,10,2024-12-01
61373,1,2024-12-01
61374,4,2024-12-01
61375,4,2024-12-01
61376,1,2024-12-01
61376,10,2024-12-01
61377,1,2024-12-01
61378,1,2024-12-01
61379,1,2024-12-01
61380,1,2024-12-01
61382,1,2024-12-01
61383,1,2024-12-01
61384,1,2024-12-01
61385,1,2024-12-01
61386,1,2024-12-01
61387,1,2024-12-01
61388,1,2024-12-01
61389,4,2024-12-01
61389,10,2024-12-01
61390,1,2024-12-01
61391,1,2024-12-01
61392,1,2024-12-01
61393,1,2024-12-01
61394,1,2024-12-01
61395,1,2024-12-01
61396,1,2024-12-01
61396,10,2024-12-01
61397,1,2024-12-01
61398,1,2024-12-01
61399,1,2024-12-01
61400,1,2024-12-01
61401,1,2024-12-01
61402,1,2024-12-01
61402,10,2024-12-01
61403,1,2024-12-01
61404,1,2024-12-01
61405,1,2024-12-01
61406,1,2024-12-01
61407,1,2024-12-01
61408,1,2024-12-01
61409,1,2024-12-01
61410,1,2024-12-01
61411,1,2024-12-01
61412,1,2024-12-01
61413,1,2024-12-01
61415,1,2024-12-01
61416,1,2024-12-01
61418,1,2024-12-01
61420,1,2024-12-01
61421,1,2024-12-01
61421,2,2024-12-01
61422,1,2024-12-01
61423,1,2024-12-01
61423,2,2024-12-01
61426,1,2024-12-01
61428,1,2024-12-02
61429,1,2024-12-02
61430,4,2024-12-02
61431,1,2024-12-02
61432,1,2024-12-02
61433,1,2024-12-02
61434,1,2024-12-02
61435,1,2024-12-02
61436,1,2024-12-02
61437,1,2024-12-02
61438,6,2024-12-02
61439,1,2024-12-02
61440,1,2024-12-02
61441,1,2024-12-02
61443,4,2024-12-02
61444,1,2024-12-02
61444,10,2024-12-02
61445,1,2024-12-02
61446,1,2024-12-02
61447,1,2024-12-02
61448,4,2024-12-02
61449,1,2024-12-02
61450,1,2024-12-02
61451,1,2024-12-02
61452,1,2024-12-02
61452,10,2024-12-02
61453,1,2024-12-02
61454,1,2024-12-02
61455,1,2024-12-02
61456,1,2024-12-02
61457,1,2024-12-02
61458,1,2024-12-02
61459,1,2024-12-02
61460,1,2024-12-02
61461,1,2024-12-02
61461,10,2024-12-02
61462,1,2024-12-02
61463,4,2024-12-02
61464,1,2024-12-02
61465,1,2024-12-02
61465,10,2024-12-02
61466,1,2024-12-02
61467,1,2024-12-02
61470,1,2024-12-02
61471,1,2024-12-02
61472,1,2024-12-02
61473,1,2024-12-02
61474,2,2024-12-02
61476,1,2024-12-02
61477,1,2024-12-02
61478,1,2024-12-02
61478,2,2024-12-02
61479,1,2024-12-02
61482,1,2024-12-03
61482,10,2024-12-03
61483,1,2024-12-03
61484,1,2024-12-03
61486,1,2024-12-03
61487,1,2024-12-03
61488,1,2024-12-03
61489,1,2024-12-03
61490,1,2024-12-03
61491,1,2024-12-03
61492,2,2024-12-03
61493,4,2024-12-03
61494,1,2024-12-03
61495,1,2024-12-03
61496,1,2024-12-03
61497,1,2024-12-03
61498,1,2024-12-03
61499,1,2024-12-03
61500,1,2024-12-03
61501,1,2024-12-03
61502,1,2024-12-03
61503,4,2024-12-03
61504,1,2024-12-03
61505,6,2024-12-03
61507,1,2024-12-03
61508,1,2024-12-03
61509,1,2024-12-03
61510,1,2024-12-03
61511,1,2024-12-03
61512,1,2024-12-03
61513,1,2024-12-03
61514,1,2024-12-03
61515,1,2024-12-03
61516,1,2024-12-03
61517,4,2024-12-03
61518,1,2024-12-03
61519,1,2024-12-03
61520,1,2024-12-03
61521,1,2024-12-03
61522,6,2024-12-03
61523,1,2024-12-03
61524,1,2024-12-03
61525,1,2024-12-03
61525,2,2024-12-03
61529,1,2024-12-03
61529,2,2024-12-03
61531,1,2024-12-03
61532,1,2024-12-03
61533,1,2024-12-03
61534,1,2024-12-03
61535,1,2024-12-03
61536,1,2024-12-03
61537,1,2024-12-03
61537,2,2024-12-03
61538,1,2024-12-03
61539,1,2024-12-04
61540,1,2024-12-04
61541,6,2024-12-04
61542,1,2024-12-04
61543,1,2024-12-04
61544,1,2024-12-04
61545,1,2024-12-04
61546,1,2024-12-04
61547,1,2024-12-04
61548,1,2024-12-04
61549,2,2024-12-04
61550,1,2024-12-04
61551,1,2024-12-04
61552,1,2024-12-04
61553,1,2024-12-04
61554,1,2024-12-04
61555,1,2024-12-04
61555,10,2024-12-04
61556,1,2024-12-04
61557,4,2024-12-04
61557,10,2024-12-04
61558,1,2024-12-04
61559,1,2024-12-04
61560,1,2024-12-04
61561,1,2024-12-04
61562,1,2024-12-04
61562,10,2024-12-04
61563,1,2024-12-04
61564,1,2024-12-04
61565,1,2024-12-04
61566,1,2024-12-04
61567,1,2024-12-04
61568,1,2024-12-04
61569,1,2024-12-04
61570,1,2024-12-04
61571,1,2024-12-04
61571,10,2024-12-04
61572,1,2024-12-04
61573,1,2024-12-04
61574,1,2024-12-04
61575,1,2024-12-04
61576,1,2024-12-04
61577,1,2024-12-04
61577,10,2024-12-04
61578,4,2024-12-04
61579,1,2024-12-04
61580,2,2024-12-04
61581,1,2024-12-04
61581,2,2024-12-04
61586,1,2024-12-04
61587,1,2024-12-04
61589,1,2024-12-04
61589,2,2024-12-04
61591,1,2024-12-04
61593,1,2024-12-04
61594,1,2024-12-04
61595,1,2024-12-04
61595,2,2024-12-04
61597,1,2024-12-04
61598,1,2024-12-05
61599,1,2024-12-05
61600,4,2024-12-05
61601,1,2024-12-05
61602,1,2024-12-05
61603,1,2024-12-05
61604,1,2024-12-05
61604,2,2024-12-05
61605,1,2024-12-05
61606,1,2024-12-05
61607,1,2024-12-05
61607,10,2024-12-05
61608,1,2024-12-05
61609,1,2024-12-05
61610,1,2024-12-05
61611,1,2024-12-05
61612,1,2024-12-05
61613,1,2024-12-05
61614,1,2024-12-05
61615,1,2024-12-05
61616,1,2024-12-05
61617,6,2024-12-05
61618,1,2024-12-05
61619,1,2024-12-05
61620,1,2024-12-05
61621,1,2024-12-05
61622,1,2024-12-05
61623,1,2024-12-05
61624,1,2024-12-05
61625,1,2024-12-05
61625,10,2024-12-05
61626,1,2024-12-05
61627,1,2024-12-05
61628,1,2024-12-05
61629,1,2024-12-05
61630,1,2024-12-05
61631,1,2024-12-05
61632,1,2024-12-05
61633,1,2024-12-05
61634,1,2024-12-05
61634,2,2024-12-05
61635,1,2024-12-05
61636,1,2024-12-05
61637,2,2024-12-05
61638,1,2024-12-05
61639,1,2024-12-05
61640,1,2024-12-05
61640,2,2024-12-05
61641,1,2024-12-05
61641,2,2024-12-05
61642,1,2024-12-05
61642,2,2024-12-05
61643,1,2024-12-05
61643,2,2024-12-05
61644,1,2024-12-05
61645,1,2024-12-05
61646,1,2024-12-05
61646,2,2024-12-05
61646,10,2024-12-05
61648,1,2024-12-05
61648,2,2024-12-05
61650,1,2024-12-05
61651,1,2024-12-05
61653,1,2024-12-05
61654,1,2024-12-05
61656,5,2024-12-05
61657,1,2024-12-06
61658,1,2024-12-06
61658,10,2024-12-06
61659,1,2024-12-06
61660,1,2024-12-06
61661,1,2024-12-06
61662,1,2024-12-06
61663,1,2024-12-06
61664,1,2024-12-06
61664,10,2024-12-06
61665,1,2024-12-06
61666,1,2024-12-06
61667,1,2024-12-06
61667,2,2024-12-06
61668,1,2024-12-06
61669,2,2024-12-06
61670,1,2024-12-06
61671,2,2024-12-06
61672,1,2024-12-06
61673,4,2024-12-06
61674,1,2024-12-06
61675,1,2024-12-06
61676,1,2024-12-06
61677,1,2024-12-06
61678,1,2024-12-06
61679,1,2024-12-06
61680,1,2024-12-06
61681,1,2024-12-06
61682,1,2024-12-06
61683,1,2024-12-06
61684,1,2024-12-06
61685,1,2024-12-06
61686,1,2024-12-06
61687,1,2024-12-06
61688,1,2024-12-06
61688,10,2024-12-06
61689,1,2024-12-06
61690,1,2024-12-06
61691,1,2024-12-06
61692,1,2024-12-06
61693,1,2024-12-06
61694,1,2024-12-06
61695,4,2024-12-06
61696,1,2024-12-06
61697,1,2024-12-06
61698,1,2024-12-06
61699,1,2024-12-06
61700,1,2024-12-06
61701,1,2024-12-06
61701,10,2024-12-06
61702,1,2024-12-06
61703,1,2024-12-06
61704,1,2024-12-06
61705,1,2024-12-06
61706,1,2024-12-06
61707,1,2024-12-06
61708,1,2024-12-06
61709,1,2024-12-06
61710,2,2024-12-06
61711,1,2024-12-06
61712,2,2024-12-06
61713,1,2024-12-06
61713,2,2024-12-06
61714,1,2024-12-06
61715,1,2024-12-06
61715,2,2024-12-06
61716,1,2024-12-06
61716,10,2024-12-06
61717,1,2024-12-06
61718,1,2024-12-06
61719,1,2024-12-06
61720,2,2024-12-06
61721,2,2024-12-06
61722,1,2024-12-06
61723,1,2024-12-06
61725,5,2024-12-06
61727,6,2024-12-06
61730,5,2024-12-06
61731,1,2024-12-06
61732,1,2024-12-07
61733,1,2024-12-07
61733,10,2024-12-07
61735,1,2024-12-07
61737,1,2024-12-07
61738,1,2024-12-07
61739,1,2024-12-07
61740,4,2024-12-07
61741,1,2024-12-07
61742,1,2024-12-07
61743,1,2024-12-07
61744,1,2024-12-07
61745,6,2024-12-07
61746,1,2024-12-07
61749,1,2024-12-07
61750,1,2024-12-07
61751,1,2024-12-07
61752,1,2024-12-07
61753,1,2024-12-07
61754,1,2024-12-07
61755,1,2024-12-07
61756,1,2024-12-07
61757,1,2024-12-07
61757,10,2024-12-07
61758,6,2024-12-07
61759,1,2024-12-07
61760,1,2024-12-07
61761,1,2024-12-07
61762,1,2024-12-07
61763,1,2024-12-07
61763,10,2024-12-07
61764,1,2024-12-07
61765,1,2024-12-07
61767,1,2024-12-07
61767,2,2024-12-07
61768,1,2024-12-07
61769,1,2024-12-07
61770,1,2024-12-07
61771,1,2024-12-07
61772,1,2024-12-07
61773,1,2024-12-07
61774,1,2024-12-07
61776,5,2024-12-07
61777,1,2024-12-07
61779,1,2024-12-07
61779,2,2024-12-07
61780,1,2024-12-07
61782,1,2024-12-07
61783,1,2024-12-08
61784,1,2024-12-08
61785,1,2024-12-08
61786,1,2024-12-08
61787,1,2024-12-08
61788,1,2024-12-08
61789,6,2024-12-08
61790,1,2024-12-08
61791,1,2024-12-08
61792,1,2024-12-08
61793,1,2024-12-08
61794,2,2024-12-08
61795,1,2024-12-08
61796,1,2024-12-08
61797,4,2024-12-08
61798,1,2024-12-08
61799,1,2024-12-08
61800,1,2024-12-08
61801,1,2024-12-08
61802,1,2024-12-08
61803,1,2024-12-08
61804,1,2024-12-08
61804,10,2024-12-08
61805,1,2024-12-08
61806,1,2024-12-08
61807,1,2024-12-08
61808,1,2024-12-08
61809,1,2024-12-08
61811,1,2024-12-08
61812,1,2024-12-08
61813,1,2024-12-08
61814,1,2024-12-08
61814,10,2024-12-08
61815,1,2024-12-08
61816,1,2024-12-08
61817,1,2024-12-08
61818,1,2024-12-08
61818,10,2024-12-08
61819,1,2024-12-08
61820,1,2024-12-08
61821,1,2024-12-08
61822,1,2024-12-08
61822,10,2024-12-08
61823,1,2024-12-08
61825,1,2024-12-08
61826,1,2024-12-08
61827,1,2024-12-08
61828,1,2024-12-08
61829,1,2024-12-08
61830,1,2024-12-08
61831,1,2024-12-08
61832,1,2024-12-08
61833,4,2024-12-08
61834,1,2024-12-08
61835,1,2024-12-08
61835,10,2024-12-08
61836,1,2024-12-08
61837,1,2024-12-08
61838,1,2024-12-08
61839,2,2024-12-08
61840,1,2024-12-08
61840,2,2024-12-08
61841,6,2024-12-08
61842,1,2024-12-08
61843,1,2024-12-08
61843,2,2024-12-08
61844,1,2024-12-08
61844,2,2024-12-08
61845,1,2024-12-08
61846,5,2024-12-08
61847,1,2024-12-08
61847,2,2024-12-08
61849,1,2024-12-08
61851,1,2024-12-08
61851,2,2024-12-08
61852,1,2024-12-08
61853,1,2024-12-08
61854,1,2024-12-08
61854,2,2024-12-08
61855,5,2024-12-08
61856,1,2024-12-09
61857,4,2024-12-09
61858,4,2024-12-09
61859,6,2024-12-09
61860,1,2024-12-09
61861,2,2024-12-09
61862,1,2024-12-09
61863,1,2024-12-09
61864,1,2024-12-09
61865,1,2024-12-09
61866,1,2024-12-09
61867,1,2024-12-09
61868,1,2024-12-09
61869,4,2024-12-09
61869,10,2024-12-09
61870,1,2024-12-09
61871,1,2024-12-09
61872,1,2024-12-09
61873,1,2024-12-09
61874,1,2024-12-09
61875,1,2024-12-09
61876,1,2024-12-09
61877,1,2024-12-09
61878,6,2024-12-09
61879,1,2024-12-09
61880,6,2024-12-09
61881,1,2024-12-09
61882,1,2024-12-09
61883,1,2024-12-09
61884,1,2024-12-09
61885,1,2024-12-09
61886,1,2024-12-09
61887,1,2024-12-09
61888,1,2024-12-09
61889,1,2024-12-09
61890,1,2024-12-09
61891,1,2024-12-09
61892,1,2024-12-09
61892,10,2024-12-09
61893,1,2024-12-09
61894,1,2024-12-09
61895,1,2024-12-09
61896,1,2024-12-09
61897,1,2024-12-09
61898,1,2024-12-09
61899,1,2024-12-09
61900,4,2024-12-09
61901,2,2024-12-09
61902,1,2024-12-09
61903,1,2024-12-09
61903,2,2024-12-09
61904,1,2024-12-09
61905,1,2024-12-09
61906,1,2024-12-09
61906,2,2024-12-09
61907,2,2024-12-09
61908,1,2024-12-09
61910,2,2024-12-09
61911,2,2024-12-09
61912,1,2024-12-09
61913,2,2024-12-09
61914,5,2024-12-09
61915,1,2024-12-09
61918,1,2024-12-09
61919,1,2024-12-09
61920,1,2024-12-09
61921,1,2024-12-09
61922,1,2024-12-10
61923,1,2024-12-10
61924,1,2024-12-10
61925,1,2024-12-10
61926,4,2024-12-10
61927,1,2024-12-10
61928,4,2024-12-10
61929,1,2024-12-10
61930,1,2024-12-10
61931,1,2024-12-10
61932,1,2024-12-10
61933,1,2024-12-10
61934,1,2024-12-10
61935,1,2024-12-10
61936,1,2024-12-10
61937,1,2024-12-10
61938,1,2024-12-10
61939,4,2024-12-10
61939,10,2024-12-10
61940,1,2024-12-10
61941,1,2024-12-10
61941,10,2024-12-10
61942,1,2024-12-10
61943,1,2024-12-10
61945,1,2024-12-10
61946,1,2024-12-10
61947,1,2024-12-10
61948,1,2024-12-10
61949,1,2024-12-10
61949,2,2024-12-10
61950,1,2024-12-10
61952,1,2024-12-10
61953,1,2024-12-10
61955,1,2024-12-10
61956,1,2024-12-10
61957,1,2024-12-10
61958,1,2024-12-10
61960,1,2024-12-10
61961,1,2024-12-10
61961,2,2024-12-10
61962,1,2024-12-10
61962,2,2024-12-10
61964,1,2024-12-10
61964,2,2024-12-10
61965,6,2024-12-10
61966,1,2024-12-10
61967,1,2024-12-10
61968,1,2024-12-10
61969,1,2024-12-10
61970,1,2024-12-10
61971,1,2024-12-10
61971,10,2024-12-10
61972,1,2024-12-11
61972,10,2024-12-11
61973,1,2024-12-11
61974,1,2024-12-11
61975,1,2024-12-11
61975,10,2024-12-11
61976,1,2024-12-11
61977,1,2024-12-11
61978,1,2024-12-11
61979,1,2024-12-11
61980,1,2024-12-11
61981,1,2024-12-11
61982,1,2024-12-11
61983,1,2024-12-11
61984,1,2024-12-11
61985,1,2024-12-11
61986,1,2024-12-11
61987,1,2024-12-11
61988,1,2024-12-11
61989,1,2024-12-11
61990,1,2024-12-11
61991,1,2024-12-11
61992,1,2024-12-11
61993,1,2024-12-11
61994,1,2024-12-11
61995,1,2024-12-11
61996,1,2024-12-11
61997,1,2024-12-11
61998,4,2024-12-11
61999,1,2024-12-11
61999,10,2024-12-11
62000,1,2024-12-11
62001,2,2024-12-11
62002,1,2024-12-11
62003,1,2024-12-11
62004,1,2024-12-11
62004,2,2024-12-11
62005,1,2024-12-11
62006,1,2024-12-11
